name	value	type	default	description	file	line
IGNITE_MBEAN_APPEND_CLASS_LOADER_ID	IGNITE_MBEAN_APPEND_CLASS_LOADER_ID		"" + DFLT_MBEAN_APPEND_CLASS_LOADER_ID	Enables Ignite to append hash code of class loader to MXBean name	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	654
IGNITE_MBEANS_DISABLED	IGNITE_MBEANS_DISABLED				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	664
IGNITE_TEST_FEATURES_ENABLED	IGNITE_TEST_FEATURES_ENABLED				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	672
IGNITE_EXCEPTION_REGISTRY_MAX_SIZE	IGNITE_EXCEPTION_REGISTRY_MAX_SIZE	Integer	"" + DEFAULT_QUEUE_SIZE	Size of buffer holding last exception	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	680
IGNITE_CACHE_CLIENT	IGNITE_CACHE_CLIENT	Integer	"" + DEFAULT_QUEUE_SIZE	Size of buffer holding last exception	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	686
IGNITE_JCACHE_DEFAULT_ISOLATED	IGNITE_CACHE_CLIENT		"" + DFLT_JCACHE_DEFAULT_ISOLATED	Enables CacheManager to start grid with isolated  IP finder when default URL is passed in. This is needed to pass TCK tests which use default URL and  assume isolated cache managers for different class loaders	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	696
IGNITE_SQL_MERGE_TABLE_MAX_SIZE	IGNITE_SQL_MERGE_TABLE_MAX_SIZE	Integer	"10000"	Maximum number of SQL result rows which can be fetched into a merge table.  If there are less rows than this threshold then multiple passes throw a table will be possible,  otherwise only one pass (e.g. only result streaming is possible)	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	707
IGNITE_SQL_MERGE_TABLE_PREFETCH_SIZE	IGNITE_SQL_MERGE_TABLE_PREFETCH_SIZE	Integer	"1024"	Number of SQL result rows that will be fetched into a merge table at once  before applying binary search for the bounds	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	715
IGNITE_SQL_PARSER_DISABLE_H2_FALLBACK	IGNITE_SQL_PARSER_DISABLE_H2_FALLBACK	Integer	"1024"	Number of SQL result rows that will be fetched into a merge table at once  before applying binary search for the bounds	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	720
IGNITE_SQL_DISABLE_SYSTEM_VIEWS	IGNITE_SQL_DISABLE_SYSTEM_VIEWS	Integer	"1024"	Number of SQL result rows that will be fetched into a merge table at once  before applying binary search for the bounds	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	724
IGNITE_SQL_RETRY_TIMEOUT	IGNITE_SQL_RETRY_TIMEOUT	Long	"30 seconds"	SQL retry timeout in milliseconds	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	728
IGNITE_SQL_UUID_DDL_BYTE_FORMAT	IGNITE_SQL_UUID_DDL_BYTE_FORMAT	Long	"30 seconds"	SQL retry timeout in milliseconds	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	732
IGNITE_AFFINITY_HISTORY_SIZE	IGNITE_AFFINITY_HISTORY_SIZE	Long	"30 seconds"	SQL retry timeout in milliseconds	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	737
IGNITE_DISCOVERY_HISTORY_SIZE	IGNITE_DISCOVERY_HISTORY_SIZE	Integer	"" + DFLT_AFFINITY_HISTORY_SIZE	Maximum size for affinity assignment history	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	742
IGNITE_DISCOVERY_CLIENT_RECONNECT_HISTORY_SIZE	IGNITE_DISCOVERY_CLIENT_RECONNECT_HISTORY_SIZE	Integer	"" + DFLT_DISCOVERY_HISTORY_SIZE	Maximum size for discovery messages history	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	747
IGNITE_DISCOVERY_METRICS_QNT_WARN	IGNITE_DISCOVERY_METRICS_QNT_WARN	Integer	"" + DFLT_DISCOVERY_CLIENT_RECONNECT_HISTORY_SIZE	Maximum number of discovery message history used to support client reconnect	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	753
